4111.0,"DAN'S HOTEL ROOM","NIGHT","INT"
4213.0,"NEW YORK BAR","NIGHT","INT"
4309.0,"APPARTMENT IN CALIFORNIA","NIGHT","INT"
4342.0,"NEW YORK BAR","NIGHT","INT"
4374.0,"WHITE HOUSE","DAY","EXT"
4378.0,"SAVANNAH","DAY","EXT"
4391.0,"WHITE HOUSE","DAY","INT"
4408.0,"WATERGATE HOTEL","NIGHT","INT"
4431.0,"GYMNASIUM","DAY","INT"
4487.0,"GUMP HOUSE","DAY","INT"
4544.0,"BAYOU LA BATRE / BUBBA'S HOME","DAY","EXT"
4563.0,"BUBBA'S GRAVE","DAY","EXT"
4588.0,"BAYOU LA BATRE","DAY","EXT"
4604.0,"BUBBA'S GRAVE","DAY","EXT"
4628.0,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT"
4658.0,"BAYOU LA BATRE","DAY","EXT"
4689.0,"DISCO","NIGHT","INT"
4708.0,"BAYOU LA BATRE","DAY","EXT"
4713.0,"APARTMENT / BEDROOM","NIGHT","INT"
4737.0,"APARTMENT / BATHROOM","NIGHT","INT"
4742.0,"APARTMENT / BALCONY","NIGHT","EXT"
4800.0,"BAYOU LA BATRE / ON THE BOAT","NIGHT","EXT"
4818.0,"BAYOU LA BATRE","DAY","EXT"
4916.0,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT"
4973.0,"CHURCH","DAY","INT"
4989.0,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT"
5014.0,"BAYOU LA BATRE / ON THE BOAT","NIGHT","EXT"
5064.0,"GUMP HOUSE","DAY","INT"
5066.0,"BAYOU LA BATRE","DAY","EXT"
5073.0,"GUMP HOUSE","DAY","INT"
5089.0,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT"
5099.0,"SAVANNAH","DAY","EXT"
5166.0,"BAYOU LA BATRE / ON THE BOAT","DAY","EXT"
5207.0,"SAVANNAH","DAY","EXT"
5237.0,"FOOTBALL FIELD","DAY","EXT"
5242.0,"GUMP MAILBOXES","DAY","EXT"
5253.0,"SAVANNAH","DAY","EXT"
5257.0,"CHURCH","DAY","INT"
5262.0,"CHURCH","DAY","EXT"
5272.0,"BAYOU LA BATRE / HOSPITAL","DAY","EXT"
5278.0,"BAYOU LA BATRE / BUBBA'S HOME","DAY","EXT"
5290.0,"SAVANNAH","DAY","EXT"
5291.0,"FINE HOUSE","DAY","INT"
5298.0,"FOOTBALL FIELD","DAY","EXT"
5306.0,"GUMP HOUSE / BALCONY","NIGHT","EXT"
5348.0,"GUMP HOUSE","DAY","EXT"
5429.0,"GUMP HOUSE","NIGHT","INT"
5445.0,"FIELD","DAY","EXT"
5463.0,"TREE ON A FIELD","DAY","EXT"
5473.0,"GUMP HOUSE","DAY","INT"
5481.0,"GUMP HOUSE","DAY","EXT"
5488.0,"GUMP HOUSE","NIGHT","EXT"
5507.0,"RIVERSIDE","NIGHT","EXT"
5520.0,"GUMP HOUSE","NIGHT","INT"
5604.0,"GUMP HOUSE","NIGHT","EXT"
5608.0,"GUMP HOUSE","NIGHT","EXT"
5662.0,"GUMP HOUSE","DAY","EXT"
5688.0,"GUMP HOUSE","DAY","INT"
5736.0,"GUMP HOUSE PORCH","DAY","EXT"
5786.0,"BARBERSHOP","DAY","INT"
