4818,BAYOU LA BATRE,DAY,EXT
4916,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
4973,CHURCH,DAY,INT
4989,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
5014,BAYOU LA BATRE / ON THE BOAT,NIGHT,EXT
5064,GUMP HOUSE,DAY,INT
5066,BAYOU LA BATRE,DAY,EXT
5073,GUMP HOUSE,DAY,INT
5089,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
5099,SAVANNAH,DAY,EXT
5166,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
5207,SAVANNAH,DAY,EXT
5237,FOOTBALL FIELD,DAY,EXT
5242,GUMP MAILBOXES,DAY,EXT
5253,SAVANNAH,DAY,EXT
5257,CHURCH,DAY,INT
5262,CHURCH,DAY,EXT
5272,BAYOU LA BATRE / HOSPITAL,DAY,EXT
5278,BAYOU LA BATRE / BUBBA'S HOME,DAY,EXT
5290,SAVANNAH,DAY,EXT
5291,FINE HOUSE,DAY,INT
5298,FOOTBALL FIELD,DAY,EXT
5306,GUMP HOUSE / BALCONY,NIGHT,EXT
5348,GUMP HOUSE,DAY,EXT
5429,GUMP HOUSE,NIGHT,INT
5445,FIELD,DAY,EXT
5463,TREE ON A FIELD,DAY,EXT
5473,GUMP HOUSE,DAY,INT
5481,GUMP HOUSE,DAY,EXT
5488,GUMP HOUSE,NIGHT,EXT
5507,RIVERSIDE,NIGHT,EXT
5520,GUMP HOUSE,NIGHT,INT
5604,GUMP HOUSE,NIGHT,EXT
5608,GUMP HOUSE,NIGHT,EXT
5662,GUMP HOUSE,DAY,EXT
5688,GUMP HOUSE,DAY,INT
5736,GUMP HOUSE PORCH,DAY,EXT
5786,BARBERSHOP,DAY,INT
5790,ROAD IN ALABMA,DAY,EXT
5804,SAVANNAH,DAY,EXT
5810,PIER,DAY,EXT
5841,SAVANNAH,DAY,EXT
5853,HIGHWAY,DAY,EXT
5900,BARBERSHOP,DAY,EXT
5908,CAFE,DAY,INT
5922,BRIDGE AT MISSISIPI RIVER,DAY,EXT
5938,SAVANNAH,DAY,EXT
5940,STREET WITH HOUSES IN THE BACKGROUND,DAY,EXT
5945,SAVANNAH,DAY,EXT
5950,STREET WITH HOUSES IN THE BACKGROUND,DAY,EXT
5973,SAVANNAH,DAY,EXT
6015,TRUCK STOP,DAY,EXT
6045,DESERT VALLEY,DAY,EXT
6134,GUMP HOUSE,DAY,INT
6153,SAVANNAH,DAY,EXT
6200,JENNY'S APPARTMENT,DAY,INT
6418,PARK,DAY,EXT
6473,GUMP HOUSE,DAY,EXT
6613,GUMP HOUSE,DAY,INT
6658,VIETNAM,NIGHT,EXT
6675,BAYOU LA BATRE / ON THE BOAT,DAY,EXT
6684,MOUNTAIN LAKE,DAY,EXT
6695,DESERT VALLEY,DAY,EXT
6708,GUMP HOUSE,DAY,INT
6738,JENNY'S GRAVE,DAY,EXT
6753,OUTSIDE JENNY'S HOUSE,DAY,EXT
6758,JENNY'S GRAVE,DAY,EXT
6777,GUMP HOUSE,NIGHT,INT
6786,JENNY'S GRAVE,DAY,EXT
6799,GUMP HOUSE,NIGHT,EXT
6806,RIVERSIDE,DAY,EXT
6813,JENNY'S GRAVE,DAY,EXT
6944,SCHOOL BUS STOP,DAY,EXT
